extension,chip,x,y,chi,snr,sharp,round,maj_ax,crowd,type,cts_mag1,sky_mag1,nrm_ct_rt_mag1,nrm_ct_rt_err_mag1,inst_vega_mag1,mag_mag1,mag1_err,chi_mag1,snr_mag1,sharp_mag1,round_mag1,crowd_mag1,flag_mag1,ctsmag2,skymag2,nrm_ct_rt_mag2,nrm_ct_rt_err_mag2,inst_vega_mag2,mag_mag2,mag2_err,chi_mag2,snr_mag2,sharp_mag2,round_mag2,crowd_mag2,flag_mag2
0.0,1.0,4198.01,4388.02,1.42,332.7,-0.017,0.009,70.0,0.05,1.0,392146.3,2502.02,6.55e-10,2.39e-12,22.96,23.194000000000003,0.004,1.61,273.7,-0.023,0.023,0.052,0.0,751411.1,5197.9,1.31e-09,7.4e-12,22.206,22.198,0.006,0.96,177.0,0.003,-0.012,0.0409999999999999,0.0
0.0,1.0,1199.86,4224.6,1.22,527.1,-0.017,0.016,75.0,0.049,1.0,313856.9,1816.59,5.21e-10,1.6e-12,23.207,23.55,0.003,1.45,325.4,-0.032,0.019,0.053,0.0,814712.5,3470.69,1.4199999999999999e-09,3.43e-12,22.122,22.113000000000003,0.003,1.11,413.0,-0.006,0.013,0.046,0.0
0.0,1.0,2985.19,4233.62,1.17,525.1,-0.018,0.019,145.0,0.022,1.0,101206.5,1740.09,1.68e-10,9.8e-13,24.436,25.023000000000003,0.006,1.36,171.6,-0.027,0.022,0.015,0.0,735605.5,3206.65,1.28e-09,2.58e-12,22.234,22.223000000000003,0.002,1.14,495.3,-0.0139999999999999,0.017,0.025,0.0
0.0,1.0,3951.59,4306.89,2.27,105.2,0.563,0.58,105.0,0.396,1.0,567.2,1847.27,9.44e-13,4.78e-13,30.062,30.574,0.55,1.15,2.0,-0.742,0.96,0.376,0.0,2711.3,3060.78,4.8e-12,6.890000000000001e-13,28.298,28.287,0.156,1.34,7.0,0.7659999999999999,0.534,0.076,0.0
0.0,1.0,1124.0,4263.52,10.93,117.0,0.068,0.237,5.0,0.067,1.0,4060.5,2138.84,6.83e-12,6.31e-13,27.914,28.584,0.1,2.87,10.8,-0.942,-0.258,0.13,0.0,62571.9,4551.26,1.09e-10,2.95e-12,24.908,24.895,0.0289999999999999,7.78,36.9,0.6759999999999999,0.5539999999999999,0.0289999999999999,0.0
0.0,1.0,1152.02,4218.11,3.39,121.1,0.145,0.1009999999999999,65.0,0.0139999999999999,1.0,3423.2,1735.04,5.4500000000000004e-12,4.52e-13,28.158,28.115,0.09,1.66,12.1,0.515,0.233,0.004,0.0,2432.4,3119.35,4.2199999999999986e-12,8.059999999999999e-13,28.436,28.431,0.207,1.2,5.2,-0.522,-0.17,0.036,0.0
0.0,1.0,1164.73,4254.64,1.79,189.2,-0.051,0.1009999999999999,80.0,0.068,1.0,170620.4,2116.19,2.85e-10,1.66e-12,23.862,23.901,0.006,2.17,171.6,-0.065,0.121,0.067,0.0,196797.1,4619.61,3.4299999999999995e-10,4.37e-12,23.661,23.654,0.0139999999999999,0.93,78.5,-0.017,0.048,0.069,0.0
0.0,1.0,3634.57,4307.58,1.26,360.0,-0.021,0.008,30.0,0.0289999999999999,1.0,83324.4,1821.72,1.38e-10,9.31e-13,24.646,25.132,0.0069999999999999,1.31,148.8,-0.025,-0.031,0.034,0.0,360211.1,3238.76,6.26e-10,1.91e-12,23.009,22.999,0.003,1.31,327.0,-0.019,0.024,0.027,0.0
0.0,1.0,1095.03,4272.38,2.77,176.6,-0.1169999999999999,0.042,85.0,0.106,1.0,166010.2,2870.06,2.7799999999999997e-10,1.6999999999999998e-12,23.891,23.881,0.0069999999999999,3.31,163.1,-0.129,0.053,0.114,0.0,153518.2,4834.89,2.68e-10,4.04e-12,23.93,23.924,0.016,1.65,66.4,-0.087,0.0139999999999999,0.086,0.0
0.0,1.0,2677.9,4376.83,2.96,68.5,0.148,0.126,25.0,0.023,1.0,746.8,1878.8,1.26e-12,5.53e-13,29.746,30.364,0.475,0.97,2.3,0.0819999999999999,-0.427,0.077,0.0,6807.4,3325.59,1.19e-11,1.04e-12,27.313,27.3,0.095,1.72,11.4,0.158,0.216,0.016,0.0
0.0,1.0,3632.44,4178.55,1.19,288.7,-0.003,0.0139999999999999,85.0,0.022,1.0,79091.2,1767.03,1.31e-10,9.01e-13,24.703000000000003,25.073,0.0069999999999999,1.27,145.9,-0.009,0.051,0.022,0.0,223612.8,3058.81,3.88e-10,1.56e-12,23.527,23.518,0.004,1.19,248.5,-0.001,-0.002,0.022,0.0
0.0,1.0,904.07,4184.9,1.07,244.8,-0.03,0.025,20.0,0.051,1.0,68086.4,1712.44,1.13e-10,8.729999999999999e-13,24.865,25.3,0.008,1.33,129.6,-0.061,0.0409999999999999,0.055,0.0,240658.0,3254.02,4.18e-10,2.02e-12,23.447,23.437,0.005,0.91,206.7,-0.01,0.0139999999999999,0.049,0.0
0.0,1.0,1132.84,4220.43,1.85,247.5,-0.109,0.048,55.0,0.008,1.0,93341.6,1802.07,1.55e-10,9.57e-13,24.523000000000003,24.806,0.0069999999999999,1.88,162.1,-0.1159999999999999,0.083,0.006,0.0,204173.7,3329.54,3.5499999999999996e-10,1.92e-12,23.626,23.618,0.006,1.89,185.1,-0.103,0.021,0.01,0.0
0.0,1.0,3933.74,4328.49,1.23,262.2,-0.011,0.032,30.0,0.067,1.0,52876.7,1932.18,8.79e-11,8.13e-13,25.14,25.614,0.01,1.24,108.1,-0.0139999999999999,0.039,0.063,0.0,217867.4,3316.97,3.78e-10,1.59e-12,23.556,23.545,0.005,1.28,238.2,-0.01,0.0289999999999999,0.069,0.0
0.0,1.0,1190.6,4158.31,1.23,260.3,-0.025,0.026,100.0,0.046,1.0,65346.1,1758.68,1.09e-10,8.499999999999999e-13,24.91,25.298,0.008,1.15,127.9,-0.034,0.0279999999999999,0.05,0.0,196865.2,3112.19,3.42e-10,1.51e-12,23.666,23.656,0.005,1.32,225.8,-0.022,0.024,0.044,0.0
0.0,1.0,2919.49,4306.72,1.39,258.7,-0.012,0.03,85.0,0.024,1.0,127045.0,1827.03,2.11e-10,1.08e-12,24.189,24.188,0.006,1.31,194.7,-0.011,0.012,0.0279999999999999,0.0,123423.8,3072.93,2.1399999999999998e-10,1.27e-12,24.173,24.167,0.006,1.43,168.9,-0.013,0.04,0.022,0.0
0.0,1.0,1434.16,4229.35,1.05,218.9,-0.018,0.0279999999999999,165.0,0.045,1.0,55958.2,1762.69,9.3e-11,8.05e-13,25.079,25.514,0.009,1.01,115.6,-0.026,0.037,0.049,0.0,198806.3,3325.73,3.4500000000000005e-10,1.8700000000000003e-12,23.654,23.644,0.006,1.15,184.9,-0.013,0.023,0.043,0.0
